代號,名稱,掛牌最高,掛牌最低
30332,威健二,173,102
30333,威健三,126,96
30334,威健四,140.25,102.8
30335,威健五,192,102.55
30336,威健六,150,95.5
30337,威健七,111,100
30341,聯詠一,0,0
30342,聯詠二,122,96.9
30362,文曄二,125,98
30363,文曄三,130.05,93
30364,文曄四,158,99
30365,文曄五,154,105.2
30366,文曄六,330,104
30371,欣興一,542,111.1
30381,全台一,233,122.1
30382,全台二,225,144.2
30383,全台三,141.5,89.9
30384,全台四,120,99.8
30391,宏傳一,102.4,102.4
30392,宏傳二,107,88.55
30401,遠見一,157,98.05
30411,揚智一,293,100.5
30421,晶技一,191,93.05
30422,晶技二,166,90
30423,晶技三,116.9,97
30424,晶技四,112.1,98
30425,晶技五,121.2,99.65
30431,科風一,278,101
30432,科風二,117.2,95.75
30451,台灣一,146,113
30452,台灣大二,182,106
30453,台灣大三,116.65,100.1
30454,台灣大四,102,97.6
30455,台灣大五,104.6,99.5
30471,訊舟一,109.4,92.2
30472,訊舟二,178,87.45
30473,訊舟三,192,102
30474,訊舟四,120,96.5
30475,訊舟五,153,102
30476,訊舟六,128.9,99.65
30477,訊舟七,368,106
30478,訊舟八,0,0
30481,益登一,128.1,99.85
30501,鈺德一,139,96
30511,力特一,348,125.55
30512,力特二,420,101.05
30541,萬國一,153,100
30542,萬國二,289,105.8
30543,萬國三,125.5,99.7
30551,蔚科一,114,95
30561,駿億一,100,99
30562,總太二,143.5,99.05
30571,喬鼎一,146,99.6
30581,立德一,148,98.5
30591,華晶一,160,98.15
30601,銘異一,153,96
30602,銘異二,232,106.1
30603,銘異三,226,95
30611,璨圓一,219,87
30612,璨圓二,228,107
30613,璨圓三,245,92.8
30614,璨圓四,115.7,97.5
30661,李洲一,215,101
30681,美磊一,119.5,92.6
30711,協禧一,144,101
30731,普格一,133,97.05
30732,普格二,132,86
30733,普格三,222,99.05
30791,宏億一,120,97
30851,久大一,167,105.7
30861,華義一,158,99.6
30881,艾訊一,129,104
30882,艾訊二,167,104.05
30891,展成一,103.45,80.5
30892,展成二,220,107
30901,日電一,188,99
30921,鴻碩一,213,99.85
30922,鴻碩二,116.6,94
30951,及成一,109.5,37.2
30952,及成二 ,180,96
30953,及成三,115.6,97.5
30954,及成四,129,103.6
30991,頂倫一 ,218,100
30992,頂倫二,151,90
31221,笙泉一,138,99.1
31222,笙泉二,144,92.05
31261,信億一,226,99.1
31281,昇銳一,121,99.8
31282,昇銳二,125,95.05
31311,弘塑一,203,106.8
31312,弘塑二,216,110.3
31351,凌航一,302,119.5
31381,耀登一,121.5,99.65
31382,耀登二,203,97.5
31411,晶宏一,489,111.1
31412,晶宏二,128.1,94.4
31413,晶宏三,130,95.9
31421,遠茂一,112,99.5
31441,新揚一,153,100
31442,新揚二,123,79
31491,正達一,106.5,96
31492,正達二,100.6,83
31493,正達三,137,99.7
31621,精確一,135,94
31622,精確二,166,102
31631,波若威一,402,107
31632,波若威二,193,101.5
31641,景岳一,136.95,100.1
31642,景岳二,130,96.15
31671,大量一,230,90
31672,大量二,504,113
31711,新洲一,113,101.5
31712,新洲二,123,99.85
31881,鑫龍騰一,125,100.4
31882,鑫龍騰二,106.9,91
32021,樺晟一,144,88.05
32022,樺晟二,115.6,98
32023,樺晟三,183,103.2
32024,樺晟四,134.4,100.6
32051,佰研一,1100,107
32052,佰研二,377,110
32071,耀勝一,155,97.6
32091,全科一,157,100
32092,全科二,115.45,91.05
32093,全科三,120.95,94.7
32094,全科四,150,96.2
32111,順達一,321,101
32141,元砷一,139,101.2
32171,優群一,119,98.5
32181,大學一,157,73.75
32241,三顧一,154,98
32242,三顧二,151,101.2
32243,三顧三,133,99.15
32291,晟鈦一,149.8,81.5
32301,錦明一,125.1,90
32302,錦明二,153,93.5
32341,光環一,120.5,100.65
32342,光環二,114.5,100
32361,千如一,170,93
32521,海灣一,159,24.2
32522,海灣二,231,100
32523,海灣三,130,100.45
32571,虹冠電一,129,92
32601,威剛一,200,107
32602,威剛二,130,91
32603,威剛三,297,106.75
32604,威剛四,163,101.75
32605,威剛五,172,96
32606,威剛六,191,107
32607,威剛七,224,109.1
32608,威剛八,219,110
32641,欣銓一,153,95.3
32681,海德威一,133.35,99.7
32711,其樂一,203,105
32712,其樂二,149.2,90
32721,東碩一,137.95,98
32722,東碩二,150,98
32723,東碩三,111.55,68.4
32841,太普一,114,98
32842,太普二,124.65,100.2
32843,太普高三,121,92.05
32881,點晶一,108.05,97
32891,宜特一,209,101.8
32892,宜特二,120.5,99.2
32893,宜特三,145.15,100.15
32894,宜特四,123,93.45
32895,宜特五,109,85.7
32901,東浦一,174,105.3
32902,東浦二,117.6,99.6
32903,東浦三,223,115.3
32941,英濟一,102,63.2
32942,英濟二,123,98.8
32961,勝德一,190,96
32991,帛漢一,108,89
32992,帛漢二,167,104
32993,帛漢三,122,98
32994,帛漢四,206,105
33031,岱稜一,124,83
33032,岱稜二,178,100
33033,岱稜三,213,103.05
33034,岱稜四,213,103
33035,岱稜五,113,95
33051,昇貿一,153,84.5
33052,昇貿二,117,95
33053,昇貿三,278,110.9
33054,昇貿四,268,105.9
33055,昇貿五,214,99.5
33081,聯德一,193,102.75
33082,聯德二,160,99.2
33101,佳穎一,489,107.8
33121,弘憶股一,139,92.05
33131,斐成一,117,32.9
33132,斐成二,126,99.3
33133,斐成三,134.9,100.8
33221,建舜一,135,99.7
33222,建舜電二,120.9,99.75
33223,建舜電三,199,110
33224,建舜電四,130,92
33225,建舜電五,111.25,94.1
33231,加百裕一,135.2,91.5
33232,加百裕二,108.3,82
33233,加百裕三,172,99
33241,雙鴻一,174,99.7
33242,雙鴻二,243,110
33243,雙鴻三,190,107.3
33244,雙鴻四,500,100.8
33245,雙鴻五,180,105
33246,雙鴻六,149,110.2
33247,雙鴻七,148.5,130
33251,旭品一,162,107
33252,旭品二,140,99.75
33253,旭品三,236,115.3
33381,泰碩一,118,98
33382,泰碩二,138,100
33391,泰谷一,148.7,45.1
33392,泰谷二,106,96
33393,泰谷三,109,96.85
33394,泰谷四,261,100
33461,麗清一,106.5,94.95
33462,麗清二,201,90
33463,麗清三,142,96.95
33464,麗清四,124.95,93
33465,麗清五,140.8,98.05
33466,麗清六,104.7,93.55
33561,奇偶一,138,99.4
33571,臺慶科一,185,100
33621,先進光一,129.9,98
33631,上詮一,186,107
33632,上詮二,200,96.5
33761,日興一,186,91.15
33762,日興二,155,99.6
33763,新日興三,151,110
33801,明泰一,159,84.5
33802,明泰二,141.2,99.15
33831,新世紀一,216,102.3
33832,新世紀二,223,90
33833,新世紀三,290,95
33834,新世紀四,129.5,88.5
33835,新世紀五,108,98
33881,崇越電一,189,101.5
33901,旭軟一,155,104.8
33902,旭軟二,135,105.1
34021,漢科一,121,45.9
34131,京鼎一,120,99
34132,京鼎二,243,105.1
34161,融程一,132,100.5
34162,融程電二,212,108
34163,融程電三,165,107.3
34191,譁裕一    ,145,94.5
34192,譁裕二,127.9,99.6
34311,長天一,141.3,68
34341,哲固一,219,107
34381,類比一,114.5,95
34382,類比二,129.5,102.05
34521,益通一,118.05,69
34522,益通二,151,83
34523,益通三,110,65
34541,晶睿一,237,102.4
34651,祥業一 ,179,107
34652,祥業二,111,99.65
34653,進泰電子三,125.8,98.9
34654,進泰電子四,107,97.1
34791,安勤一,140,104
34792,安勤二,135,93.1
34793,安勤三,123,100.5
34831,力致一,245,106.5
34832,力致二,169,91
34833,力致三,237,100
34834,力致四,154,100.25
34841,崧騰一,210,95.5
34842,崧騰二,135,99.3
34843,崧騰三,160,103.25
34891,森寶一,120,100
34901,單井一,172,131
34911,昇達科一,142.6,103.2
34912,昇達科二,175,110.75
34941,誠研一,144.5,83.4
34991,環天一,144,71
34992,環天二,110,88.5
35121,皇龍一,128,99.35
35141,昱晶一,127,85.95
35142,昱晶二,145.5,100
35161,亞帝歐一,120.1,97.1
35181,柏騰一,129.5,98
35191,綠能一,198,80.5
35211,鴻翊一,199,106
35221,御嵿一,159,102.1
35231,迎輝一,117.9,96.15
35261,凡甲一,150,99.2
35262,凡甲二,197,102
35263,凡甲三,130.55,100.5
35264,凡甲四,356,103.9
35265,凡甲五,213,99
35266,凡甲六,173,104
35267,凡甲七,140.1,105.05
35271,聚積一,231,110.5
35331,嘉澤一,167,112.8
35332,嘉澤二,211,110.2
35351,晶科一,113,98
35352,晶彩科二,128,100.5
35361,誠創一,142.9,99.5
35363,誠創三,127,98.85
35431,州巧一,145.5,116
35451,敦泰一,134.7,91
35481,兆利一,325,101.6
35482,兆利二,155,97.6
35483,兆利三,119.5,99.65
35511,世禾一,162,95
35512,世禾二,136,105.5
35513,世禾三,144,117.3
35521,同致一,149.2,99.2
35522,同致二,187,96
35523,同致三,545,102
35571,嘉威一,117,100.75
35641,其陽一,118,99.6
35642,其陽二,125,95
35761,新日光一,157,98
35762,新日光二,156,98.8
35763,聯合再生三,125.9,99.25
35791,尚志一,146,91
35801,友威科一,388,100.1
35802,友威科二,132,99.3
35831,辛耘一,243,99
35832,辛耘二,255,96
35841,介面一,117.5,87
35871,閎康一,174,103.05
